File	Value	MergeDevice2_DB	MergeDevice3_JaMuz
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track1.mp3	ignore	false	true
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track2.mp3	ignore	false	true
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track3.mp3	Rating	0	4
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track4.mp3	ignore	false	true
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track5.mp3	ignore	false	true
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track6.mp3	ignore	false	true
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track7.mp3	Rating	0	4
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track8.mp3	ignore	false	true
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track9.mp3	ignore	false	true
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track10.mp3	ignore	false	true
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track11.mp3	ignore	false	true
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track12.mp3	ignore	false	true
